img,seg_status,dice,iou
IMG000932,TP,0.8387096524238586,0.7222222089767456
IMG000934,TP,0.9161604046821594,0.8452914953231812
IMG000939,TP,0.8780680894851685,0.7826393842697144
IMG000949,TP,0.8206686973571777,0.6958763003349304
IMG000964,TP,0.8660170435905457,0.7636949419975281
IMG000977,TP,0.916946291923523,0.8466305136680603
IMG000994,TP,0.8314805626869202,0.7115675806999207
IMG001001,TP,0.8653569221496582,0.762668788433075
IMG001023,TP,0.7411764860153198,0.5887850522994995
IMG001024,TP,0.8379446864128113,0.7210884094238281
IMG001033,TP,0.8855218887329102,0.7945619225502014
IMG001049,TP,0.7782805562019348,0.6370370388031006
IMG001061,TP,0.9186962842941284,0.8496190905570984
IMG001070,TP,0.9368420839309692,0.8811880946159363
IMG001077,TP,0.7311654090881348,0.5762495994567871
IMG001080,TP,0.7965995073318481,0.6619570851325989
IMG001101,TP,0.8640387058258057,0.7606233954429626
IMG001108,TP,0.8653451800346375,0.7626506090164185
IMG001116,TP,0.9251075983047485,0.8606513738632202
IMG001119,TP,0.8491898775100708,0.7379061579704285
IMG001134,TP,0.8575677275657654,0.7506508827209473
IMG001136,TP,0.8664987683296204,0.7644444704055786
IMG001141,TP,0.636363685131073,0.46666666865348816
IMG001151,TP,0.8167202472686768,0.6902173757553101
IMG001161,TP,0.9169208407402039,0.8465871214866638
IMG001165,TP,0.9123459458351135,0.8388199806213379
IMG001173,TP,0.8848230838775635,0.7934373617172241
IMG001174,TP,0.8565725088119507,0.7491270303726196
IMG001178,TP,0.909747302532196,0.8344370722770691
IMG001212,TP,0.8631852269172668,0.7593016028404236
IMG001214,TP,0.9562368392944336,0.9161434769630432
IMG001229,TP,0.7549958229064941,0.6064203381538391
IMG001235,TP,0.8898224830627441,0.801513671875
IMG001239,TP,0.8323706984519958,0.7128723859786987
IMG001262,TP,0.9304295182228088,0.8699095249176025
IMG001263,TP,0.913653552532196,0.8410332798957825
IMG001286,TP,0.8254023790359497,0.702710747718811
IMG001296,TP,0.792569637298584,0.656410276889801
IMG001299,TP,0.7583892345428467,0.6108108162879944
